Unnamed: 0,rating,sentiment,review,spearman,sympathy,unsympathy,correlation
1,10,0.081136018,저게우리였으면  아무한테도연락안와서 밥만먹고끝났을듯 ㅜ ㅜ ,0.320636703,13501,483,0.918863982
3,8,0.261703849,다른 의미로 공포 영화. ,0.115476735,7492,333,0.538296151
4,10,0.770460784,사람의 본심은 월식과 같아서 언젠가 드러나는 법 ,0.755535949,7195,408,0.229539216
5,10,0.686485589,서로를 잘 모르기에 함께 살 수 있는 우리들 ,0.275128289,6106,222,0.313514411
6,10,0.908800006,올해  최고의 블랙코미디. 유해진의 연기는 믿고 봅니다. ,0.27247463,5104,317,0.091199994
7,10,0.375457495,윤경호라는 배우의 대발견.. 큰 배우들사에서도 전혀 꿀리는거없이 존재감 제대로 사네 ,0.578121613,4441,265,0.624542505
8,10,0.059792489,요즘 망해가는 한국영화들중에 젤만족스러웠다 막장같은 스토리임에도 깔끔한연출과 배우들의 미친 연기력땜에 쫄리면서도 계속웃겨서쉴틈을 안줌 ㅋㅋㅋ ,0.273572982,3963,269,0.940207511
9,10,0.7356475,35라고 생각했지 57은 정말 생각도 못 했다. ,0.461478614,3549,249,0.2643525
10,10,0.701430917,간만에 극장에서 다 같이 웃는 경험 한거 같아요 ㅋㅋㅋㅋ 웃음 포인트도 많고 소름돋는 포인트도 있어서 재밌었어요 ㅋㅋㅋ 핸드폰이 누구나 쓰는 물건이라서 더 공감가는 것 같습니당 추천해요 ,0.143848725,3378,317,0.298569083
13,8,0.439379424,캐릭터 중 이서진캐릭터가 제일쓰레김 ,0.175358745,2911,112,0.360620576
14,10,0.307391226,제작비 수십억씩 때려박은 영화들 뺨때리네. 혼자 기대없이 보러갔다가 시간 아깝지않게 봤습니다. ,0.439290484,2951,175,0.692608774
16,8,0.916595221,재밌는데 끝나고 나면 기분나쁜 영화.. ,0,2672,164,0.116595221
17,10,0.825037241,명배우들 대사 핑퐁이 그렇게 신나고 재밌는 줄 몰랐다.역시 프로들은 다른가보다  마치 올림픽 탁구 경기를 보는 느낌이였다. ,0.058099347,2595,211,0.174962759
18,10,0.690524936,고오급 드립의 향연 속에서의 배우들의 편안한 연기에 매료되어 빵 터지기도 했다가 간 쫄리기도 했다가 관중을 들었다 놨다 아주 미친 영화 ,0.213623597,1880,188,0.309475064
19,10,0.433619916,오랜만에 만나는 웰메이드 영화. ,0.707106781,1265,175,0.566380084
20,10,0.989080071,아침부터 엄청 웃었음ㅋㅋ 올해 본 영화중에 젤 재밌고~~ 이야기가 깊어요~~~ 이게 영화지!!! ,0.866025404,1228,196,0.010919929
21,10,0.559898019,인간관계의 모든것...진짜 너무 적나라하다ㅜ ,0.25819889,1019,72,0.440101981
22,10,0.80979532,별 10개줘도 아깝지 않음 이서진 오랜만에 영화 굳이엇음 ,0.202003741,1132,199,0.19020468
23,10,0.344338804,갑자기  아이폰 사파리 검색기록을 지워야겠다는 생각이 문득 들었다. ,0.941123948,1069,199,0.655661196
25,1,0.844050586,웃긴장면이 있는거지  웃기거나 재밌는 영화는 아닌듯 ,-0.273229533,1285,473,0.744050586
26,4,0.657839537,내 웃음 포인트가 남들과 다른가? 코미디 영화를 보고 싶었는데 오히려 이 영화 보고 나니 기분이 다운됨. 중간 중간 웃기는부분은 있지만 전체적으로 심각한 상황이라 웃음이 안 나옴. ,0.586220556,1207,396,0.257839537
28,1,0.459445238,2시간 동안 가정이 파탄나는 꼴만 봤음 참 찝찝하고 불편하고 기분 안좋았던 영화 ,-0.5,1193,463,0.359445238
29,10,0.525872529,사람들은 세가지삶을 가지고있다 ,0.439261636,713,78,0.474127471
30,2,0.507823765,여자친구랑 보지마세요 ,0.485714286,869,318,0.307823765
31,1,0.710965633,이 영화보면 혼자 살고 싶어짐 ^^ ,0.504750156,654,109,0.610965633
32,8,0.573656201,'재미있으면 공감 재미없으면 비공감'이런거 안따지고   강추!  유해진너무웃김ㅋㅋㅋㅋ ,0.125567442,725,180,0.226343799
33,1,0.249972731,남자들의 우정이란게 이런건지 수준낮은 영화 ,0.472020014,1073,547,0.149972731
34,1,0.031052351,왜난재미없지? 내가이상한가 ,1,804,432,0.068947649
36,2,0.467337906,아저씨들이 좋아할 것 같은 영화.. ,0.866025404,511,199,0.267337906
37,1,0.412729412,어디서 웃어야할지   이게 웃으라고 넣은 내용인지 이상한것들이 많았다. 보던중 뛰쳐나올꺼 꾹 참고봤다 그만큼 불편했다 ,0.707106781,470,204,0.312729412
38,1,0.00031516,쓰레기.. 그래서 결말이 뭔지 모르겠음. 특히 마지막 자막이 진짜 너무 구리고 최악임. 누구에게나 비밀은 있다. 그래서 뭐 어쩌라고? 비밀이 비밀로 지켜졌을 때 평화롭다  모르는 게 약이다 이건가? 어디 불륜을 비밀이란 단어에 갖다붙여? 역대급 최악 ,0.512271764,386,126,0.09968484
39,10,0.889182925,판타지는 잠시 접어두고 인간의 이면과 본성을 위트있게 드러낸 영화. 관계에 대해 생각할거리를 많이 던져줍니다. 명대사도 아주 많아요. 올해 처음으로 만족스러웠던 한국영화  한번 더 보러가려고요. 배우들의 연기력이야 뭐 말할것도 없이 몰입도도 짱 ,0.670820393,309,80,0.110817075
41,1,0.00105685,재미도 없고 감동도 없고 시대만 역행하는 영화인것같네요개그 소재이면 안되는 것들이 너무 많이 희화화돼서 불쾌합니다 ,0.866025404,448,244,0.09894315
42,1,0.17687276,분명히 웃기고 개그적인요소들이있으나 다루는내용이불편하고 마냥웃기지많은않음 그리고 결론적으로 영화에서 무슨메세지를전하는건지모르겠음 커플들여럿싸울듯 그리고 안드로이드폰 아이폰비교할때라던지 빅스비라던지 저게 여기서왜나오지?싶은내용이있었음 ,0.774596669,300,105,0.07687276
