rating,sentiment,correlation,review,spearman,label,prediction_score,predicted_label
2,0.253528714,0.053528714,징그러운거 잔인한거 아이보니 그럼 비추 ,0.202797324,0.0,0.9989379,1
1,0.23313427,0.13313427,개무서움 덜덜 진짜 개무서움 덜덜더르 ,1.0,1.0,0.99879706,1
1,0.022273391,0.077726609,극혐도시 폭동도시 쓰레기 ,0.343165677,0.0,0.998783,1
1,0.012172163,0.087827837,쓰레기임 폭력성만 강조한 냉무영화 ,0.866025404,1.0,0.99872655,1
10,0.524305522,0.475694478,범죄도시>>>범죄와의 전쟁 ,0.398526698,0.0,0.9984999,1
1,0.002934873,0.097065127,잔인하기만함스토리도뻔하고엉성함별로임 ,0.755928946,1.0,0.99833155,1
1,0.478615582,0.378615582,에이 거품이 좀..있네 ,0.372926159,0.0,0.9981967,1
1,0.107964397,0.007964396,평점 알바놈들때매 낚여서 봤네 정말 잔인하기만하고 더럽기만한 쓰레기 영화다 ,0.606038533,1.0,0.99814206,1
1,0.003236979,0.096763021,기대잔뜩하고봤는데삼류건달최악의영화 ,1.0,1.0,0.9979491,1
1,0.003236979,0.096763021,기대잔뜩하고봤는데삼류건달최악의영화 ,1.0,1.0,0.9979491,1
1,0.00052008,0.09947992,정말 네이버댓글 믿으시면안됩니다잔인하기만하고 별다른 내용이없어서 굉장히 실망했슴니다마음같아선 0점주고싶은데 1점이 최소에요최악입니다 ,0.866025404,1.0,0.9979362,1
1,0.0004251,0.0995749,완전 쓰레기 같다. 돈아깝다. 불따로나 봐야 적당함 ,0.454439533,1.0,0.99767584,1
1,0.041699886,0.058300114,재미없고 잔인하기만해요 ,0.591050471,1.0,0.9976212,1
1,0.004799962,0.095200038,별 한개도 아깝다. 처음부터 끝까지 잔인하기만 한 쓰레기조폭 영화. 이딴 영화에 열광하며 스트레스를 푸는 인간들도 무섭다. ,0.591312396,1.0,0.9975112,1
1,0.002019584,0.097980416,평점이 왜케 높지? 정말 돈아까워  끝까지 봤다.. 잔인하구 내용도 별루 없구.. 허무 ,0.67936941,1.0,0.99741596,1
7,0.426641643,0.273358357,전지적 마동석 시점 ... ,0.180897146,0.0,0.99670875,1
9,0.437906593,0.462093407,군더더기 없이 깔끔했다. ,0.322865228,0.0,0.99641335,1
1,0.524305522,0.424305522,ㅅㄹㅇㅎ ㅆㄹㄱ ㅇㅈ잔인 ,0.307159533,0.0,0.9962757,1
1,0.081192881,0.018807119,솔직히... 좀... 아녔음.... ,0.549977083,1.0,0.9962689,1
1,0.276181459,0.176181459,내가 제일 싫어하는 영화 스타일... 식상하고 쓸데없는 잔인함 ,0.452436015,1.0,0.9958439,1
5,0.177361488,0.322638512,별 특별한것도 없는데 칭찬일색이네 ,0.62165853,1.0,0.9953563,1
1,0.005397528,0.094602472,쓰레기들의 향연 영화보다 나온적은 처음임 범죄물을 그려도 이렇게 지저분하고 질낮게 밖에 못만드냐 ,0.731925055,1.0,0.9951853,1
1,0.068075925,0.031924075,아 평점 믿고 봤다가 괜히 본 것 같음 너무 잔인한 장면 많고 돈아까웠음도대체 이런 영화를 왜 좋아하는 건지 참차라리 남한산성이 더 낫다 ,0.866025404,1.0,0.9950469,1
1,0.079686552,0.020313448,그냥 아무생각없이 시간때울만한 영화... 뻔한 스토리에 감동은 커녕 반전도 없고 ... 그저 그런 ... 평점이 거품이 가득찬 영화 ,0.127644089,0.0,0.994853,1
1,0.024771839,0.075228161,평점 미쳤네 .... 진짜 재미 1도 없음 ,0.223606798,0.0,0.9947773,1
4,0.431533694,0.031533694,잔인한 폭력에 열광들을 한다.폭력지수 상승..;; ,0.763762616,1.0,0.99455434,1
1,0.150462538,0.050462538,너무잔인하고 마초적이고 말초적이기만해서 여자친구랑 보기는 부적절했어요.. ,0.458734902,1.0,0.9944155,1
1,0.019027084,0.080972916,"내가 심야로 봤는데 잠이 들어보렸다... 그럼 재미없던듯, 기억도 안남 ",0.744793247,1.0,0.99415714,1
10,0.524305522,0.475694478,존잠존잼존잼존잼ㅇㅇ ,0.398526698,0.0,0.99329704,1
1,0.180312127,0.080312127,한국영화의 퇴보 상업성만따지고 작품성은버림 ,0.532748399,1.0,0.9927479,1
1,0.040841758,0.059158242,이런  내용도없는  잔인한  영화는  이세상에서  사라져야합니다.   세금도  100배  더  내야된다고  생각합니다.  너무잔인해서   보는 내내  눈감고있었습니다.  일행때문에  끝까지  앉아있던게  후회스럽네요이런잔인한 영화 만들지 마세요 ,0.894427191,1.0,0.99238545,1
1,0.071566373,0.028433627,완전 잔인하고 폭력적임. .왜이리 평점이 높지?재미없는데 ,0.68061391,1.0,0.9921592,1
4,0.253676474,0.146323526,"한국인들의  피 색깔이  검은색이란게  보였던 영화  원래  피는  빨간색이 아니던가신세계,타워에서는  한국배우들  피가 검은색이더라  범죄도시도  마찬가지 예요 ",0.143728373,0.0,0.99213076,1
1,0.017368197,0.082631803,내용없고 액션도 지루함. 그러나 킬링타임용으로 그럭저럭 괜츈. 지나치게 오바된 평점 평준화를 위해 1점 ,0.734911017,1.0,0.99199414,1
1,0.001154721,0.098845279,기대했는데 최악입니다 잔인하고 스토리전개도 허술하고 그냥 킬링타임용입니다 ,0.866025404,1.0,0.99141973,1
10,0.302593142,0.697406858,한방한방역시강한마블리 ,0.147613871,0.0,0.9906678,1
10,0.524305522,0.475694478,진심레알핵핵핵핵꿀잼 ,0.186031719,0.0,0.9904774,1
8,0.279095948,0.520904052,마크 러팔로 명배우 ,0.214970501,0.0,0.9903814,1
10,0.524305522,0.475694478,윤계상 연기력 재조명 및 마동석 체급차이 ㄷㄷㄷ ,0.552631579,1.0,0.9902492,1
1,0.434889734,0.334889734,ㅋㅋ알바새ㅋ키들 난리낫네 아주그냥 ,0.463816829,1.0,0.9898445,1
1,0.056463331,0.043536669,"어디선가 본듯한 스토리, 본듯한 구성 ",0.640058253,1.0,0.98966956,1
9,0.524305522,0.375694478,오우 재밌드레니 윤계상 오졋드레니 ,0.0,0.0,0.9893749,1
1,0.007564634,0.092435366,내용도 뻔하고 연출도 걍 그랬음.. 근데 진짜 경찰들 룸다니나요? 픽션일텐데 웃기라고 넣은건가 ,0.774596669,1.0,0.98907626,1
5,0.187715292,0.312284708,구성이나 흐름이 좀 약하네 ,1.0,1.0,0.98879135,1
1,0.016621798,0.083378202,그냥 딱 킬링타임용..멤버쉽으로 안봤으면 돈아까웠을듯.. ,0.866025404,1.0,0.9887421,1
1,0.000699878,0.099300122,이거 개노잼임 조선족 말투도 존나 어색 귀에 거슬림 황해처럼 그런 긴장감도 없고 마동석 영화임 그냥 마동석 쎔 존나쎔 이럴려고 나온 영화 그리고 마지막에 예정화 왜 내보냈는지 영화가 참... 이거 재밌다는애들 혼자 돈버린거 아까워서 낚는듯 ,0.926561646,1.0,0.9885838,1
6,0.415049106,0.184950894,그릇이 아쉬웠지 내용은 썩 괜찮네. ,0.297544416,0.0,0.9883556,1
1,0.031529427,0.068470573,정신없고 잔인하고 별로~평점 9점대라는 것이 놀라울 뿐 ,0.551491353,1.0,0.9880003,1
1,0.048407376,0.051592624,뻔하고 별거없음 그냥 싸우는게 다임 ,0.479666967,1.0,0.9879977,1
5,0.344734192,0.155265808,마동석은제대로뽑은것같은데윤계상은아닌것같아요실망 ,0.765158976,1.0,0.9878649,1
1,0.175626963,0.075626963,재미드럽게읍다 다 댓글알바들이냐?  아님 눈이없냐? ,0.845154255,1.0,0.98759705,1
10,0.943627715,0.056372285,개꾸르잼존트꾸르잼최고 ,0.866025404,1.0,0.9875535,1
2,0.29552567,0.09552567,"허름한 플롯, 과도한 폭력... ",0.436840555,0.0,0.98706794,1
